2019,2020,2021,2022,2023,City,2024,2025,2026,2027,2028,2029
133128.0,161333.0,182403.0,133523.0,130686.0,Республика Казахстан ,,,,,,
0.0,0.0,0.0,5460.0,5398.0,,,,,,,
7310.0,8520.0,9473.0,7171.0,6882.0,Акмолинская,,,,,,
5675.0,6958.0,7702.0,5645.0,5802.0,Актюбинская,,,,,,
13578.0,16137.0,18452.0,9488.0,9330.0,Алматинская,,,,,,
3601.0,4728.0,5012.0,3569.0,3497.0,Атырауская,,,,,,
5532.0,6647.0,7556.0,5529.0,5432.0,Западно-Казахстанская,,,,,,
7387.0,9139.0,10494.0,7259.0,7243.0,Жамбылская,,,,,,
0.0,0.0,0.0,4956.0,4965.0,,,,,,,
13414.0,15478.0,17634.0,11475.0,10714.0,Карагандинская,,,,,,
8978.0,10596.0,12158.0,8884.0,8367.0,Костанайская,,,,,,
4527.0,5988.0,5712.0,4517.0,4551.0,Кызылординская,,,,,,
3054.0,4205.0,4478.0,3067.0,3273.0,Мангистауская,,,,,,
7377.0,8704.0,10322.0,7516.0,6932.0,Павлодарская,,,,,,
6691.0,7512.0,8421.0,6245.0,5913.0,Северо-Казахстанская,,,,,,
10345.0,12880.0,13624.0,9746.0,10070.0,Туркестанская*,,,,,,
0.0,0.0,0.0,1970.0,1882.0,,,,,,,
14241.0,16485.0,18783.0,8472.0,8039.0,Восточно-Казахстанская,,,,,,
4330.0,6175.0,6968.0,5294.0,5393.0,г. Астана,,,,,,
12240.0,14440.0,18220.0,12221.0,11923.0,г. Алматы,,,,,,
4848.0,6741.0,7394.0,5039.0,5080.0,г. Шымкент,,,,,,
,,,,,Республика Казахстан ,132290.0,140085.0,133201.0,131274.0,119320.0,127795.0
,,,,,Акмолинская,7178.0,7189.0,6565.0,6558.0,6386.0,5830.0
,,,,,Актюбинская,5758.0,6176.0,5686.0,5814.0,5509.0,5520.0
,,,,,Алматинская,8755.0,7171.0,6016.0,4248.0,2734.0,1286.0
,,,,,Атырауская,3619.0,3399.0,3521.0,3301.0,3072.0,2857.0
,,,,,Западно-Казахстанская,5757.0,5571.0,5220.0,5139.0,4972.0,5154.0
,,,,,Жамбылская,7756.0,7713.0,7440.0,6784.0,7053.0,6596.0
,,,,,Карагандинская,10507.0,9820.0,9442.0,7958.0,7174.0,6347.0
,,,,,Костанайская,9280.0,8398.0,8034.0,8028.0,8119.0,7257.0
,,,,,Кызылординская,4419.0,4531.0,4425.0,4002.0,4068.0,3813.0
,,,,,Мангистауская,3513.0,3354.0,3275.0,3113.0,2998.0,3177.0
,,,,,Павлодарская,7627.0,6979.0,6847.0,7037.0,6383.0,6287.0
,,,,,Северо-Казахстанская,5861.0,5750.0,5415.0,5128.0,5216.0,4648.0
,,,,,Туркестанская*,10678.0,10307.0,9885.0,9004.0,8330.0,8745.0
,,,,,Восточно-Казахстанская,7128.0,4834.0,3030.0,1001.0,-1049.0,-3135.0
,,,,,г. Астана,6185.0,6222.0,6381.0,6568.0,6757.0,6521.0
,,,,,г. Алматы,12470.0,12696.0,12717.0,11753.0,11957.0,11048.0
,,,,,г. Шымкент,5190.0,5572.0,5376.0,5177.0,4909.0,4672.0
