2019,2020,2021,2022,2023,2024,City,2025,2026,2027,2028,2029
2030211.0,2120362.0,2080647.0,2135447.0,2244649.0,2355318.0,Қазақстан Республикасы,,,,,
0.0,0.0,0.0,0.0,92720.0,89773.0,,,,,,
106795.0,105001.0,107650.0,104607.0,121255.0,117173.0,Ақмола,,,,,
92860.0,89536.0,90993.0,86663.0,101886.0,96632.0,Ақтөбе,,,,,
221172.0,214862.0,217946.0,208278.0,159116.0,150729.0,Алматы,,,,,
54687.0,52729.0,53681.0,50791.0,61893.0,58076.0,Атырау,,,,,
84342.0,82363.0,84232.0,80967.0,93567.0,89121.0,Батыс Қазақстан,,,,,
110245.0,108365.0,111456.0,107419.0,129301.0,123771.0,Жамбыл,,,,,
0.0,0.0,0.0,0.0,88007.0,84641.0,,,,,,
201177.0,198527.0,204056.0,198303.0,180474.0,174617.0,Қарағанды,,,,,
142630.0,140535.0,143728.0,139029.0,145415.0,140168.0,Қостанай,,,,,
68848.0,66206.0,67872.0,64565.0,75673.0,71805.0,Қызылорда,,,,,
52870.0,50216.0,50502.0,46939.0,58596.0,54670.0,Маңғыстау,,,,,
113880.0,112393.0,115385.0,111383.0,123189.0,118484.0,Павлодар,,,,,
99243.0,98191.0,100748.0,98133.0,102888.0,99572.0,Солтүстік Қазақстан,,,,,
149648.0,144632.0,148039.0,140749.0,167629.0,158517.0,Түркістан,,,,,
0.0,0.0,0.0,0.0,27078.0,26253.0,,,,,,
224086.0,222027.0,227866.0,221546.0,145034.0,141022.0,Шығыс Қазақстан,,,,,
100099.0,91951.0,89977.0,80386.0,121282.0,109189.0,Астана қаласы,,,,,
231418.0,225171.0,227303.0,216410.0,266971.0,252947.0,Алматы қаласы,,,,,
81447.0,77942.0,78928.0,74043.0,93344.0,87489.0,Шымкент қаласы,,,,,
,,,,,,Қазақстан Республикасы,2252975.0,2539045.0,2566321.0,2469278.0,2518316.0
,,,,,,Ақмола,123601.0,119270.0,125931.0,129729.0,125373.0
,,,,,,Ақтөбе,94539.0,99679.0,96488.0,106877.0,101636.0
,,,,,,Алматы,148448.0,122081.0,108792.0,92670.0,80536.0
,,,,,,Атырау,61083.0,58824.0,58781.0,65014.0,65541.0
,,,,,,Батыс Қазақстан,89595.0,94869.0,95586.0,99550.0,97118.0
,,,,,,Жамбыл,121748.0,133136.0,132450.0,138686.0,147973.0
,,,,,,Қарағанды,180036.0,173186.0,157480.0,163236.0,152160.0
,,,,,,Қостанай,140510.0,137678.0,136165.0,139180.0,147673.0
,,,,,,Қызылорда,69762.0,75103.0,75448.0,73133.0,75987.0
,,,,,,Маңғыстау,54625.0,56974.0,57866.0,58185.0,56440.0
,,,,,,Павлодар,116989.0,124732.0,122461.0,130806.0,122205.0
,,,,,,Солтүстік Қазақстан,96994.0,105514.0,105936.0,103593.0,100956.0
,,,,,,Түркістан,154182.0,158588.0,170950.0,162755.0,168349.0
,,,,,,Шығыс Қазақстан,133744.0,113794.0,90541.0,74728.0,55743.0
,,,,,,Астана қаласы,113673.0,112222.0,112650.0,123587.0,121306.0
,,,,,,Алматы қаласы,253596.0,262218.0,281150.0,272871.0,274911.0
,,,,,,Шымкент қаласы,91503.0,93196.0,95331.0,94142.0,95514.0
